"competition","season","country","competition_type","matchday","match_date","home_team","away_team","stadium","city","home_score","away_score","status","is_friendly","source","external_id"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-25T20:00:00+00:00","Osasuna","Elche","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-25-osasuna-elche"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-25T20:00:00+00:00","Oviedo","Barcelona","","","1","3","finished","false","datahub-football-data","laliga-2025-2026-2025-09-25-oviedo-barcelona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-26T20:00:00+00:00","Girona","Espanol","","","0","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-26-girona-espanol"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-27T20:00:00+00:00","Getafe","Levante","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-27-getafe-levante"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-27T20:00:00+00:00","Ath Madrid","Real Madrid","","","5","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-27-ath-madrid-real-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-27T20:00:00+00:00","Mallorca","Alaves","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-27-mallorca-alaves"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-27T20:00:00+00:00","Villarreal","Ath Bilbao","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-27-villarreal-ath-bilbao"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-28T20:00:00+00:00","Vallecano","Sevilla","","","0","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-28-vallecano-sevilla"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-28T20:00:00+00:00","Elche","Celta","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-28-elche-celta"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-28T20:00:00+00:00","Barcelona","Sociedad","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-09-28-barcelona-sociedad"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-28T20:00:00+00:00","Betis","Osasuna","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-09-28-betis-osasuna"
"LaLiga","2025/2026","Spain","domestic_league","","2025-09-30T20:00:00+00:00","Valencia","Oviedo","","","1","2","finished","false","datahub-football-data","laliga-2025-2026-2025-09-30-valencia-oviedo"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-03T20:00:00+00:00","Osasuna","Getafe","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-03-osasuna-getafe"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-04T20:00:00+00:00","Oviedo","Levante","","","0","2","finished","false","datahub-football-data","laliga-2025-2026-2025-10-04-oviedo-levante"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-04T20:00:00+00:00","Girona","Valencia","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-04-girona-valencia"
"LaLiga","2025/2026","Spain","domestic_league","","2025-10-04T20:00:00+00:00","Ath Bilbao","Mallorca","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-10-04-ath-bilbao-mallorca"
